春节晚会_8888,#genre#
2010年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ0MjlfMF8z_b_B8818807a00eed329a69fb494f405bd43.mp4
2013年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ1NjNfMF8z_b_B4fea55408dca4471a68a963ae096be59.mp4
2014年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTNfNDAzMDAxOTlfOTI4OTY2ODAzNjlfMF8z_b_Bdee65c77f9e7b2120a185c919dad81d2.mp4
2018年春晚,https://alimov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTRfNDAzMDAxOTlfOTI4OTY2ODE2MTBfMF8z_b_B11a778e34390a21de42d407e94f45b91.mp4

86版西游记_2965,#genre#
1,https://play.xluuss.com/play/Xe0B7y3b/index.m3u8 
2,https://play.xluuss.com/play/Ddwlw8ze/index.m3u8 
3,https://play.xluuss.com/play/mepPmKme/index.m3u8 
4,https://play.xluuss.com/play/DbDAoZAd/index.m3u8 
5,https://play.xluuss.com/play/9aAxlr7e/index.m3u8 
6,https://play.xluuss.com/play/Ddwlwyge/index.m3u8 
7,https://play.xluuss.com/play/Yer6opBe/index.m3u8 
8,https://play.xluuss.com/play/yb8lNg2b/index.m3u8 
9,https://play.xluuss.com/play/1aKRyGle/index.m3u8 
10,https://play.xluuss.com/play/nelPg07e/index.m3u8 
11,https://play.xluuss.com/play/9b6jNMLb/index.m3u8 
12,https://play.xluuss.com/play/lejPKMYb/index.m3u8 
13,https://play.xluuss.com/play/lejPKMBb/index.m3u8 
14,https://play.xluuss.com/play/1aM6AKPb/index.m3u8 
15,https://play.xluuss.com/play/YaORDkQe/index.m3u8 
16,https://play.xluuss.com/play/BeXRlAob/index.m3u8 
17,https://play.xluuss.com/play/QeZRng2e/index.m3u8 
18,https://play.xluuss.com/play/qaQRGXMb/index.m3u8 
19,https://play.xluuss.com/play/5eV9j2Bd/index.m3u8 
20,https://play.xluuss.com/play/mepPmKXe/index.m3u8 
21,https://play.xluuss.com/play/RdGErx3a/index.m3u8 
22,https://play.xluuss.com/play/Rb4J3Dke/index.m3u8 
23,https://play.xluuss.com/play/penPkVPb/index.m3u8 
24,https://play.xluuss.com/play/rb2ENqja/index.m3u8 
25,https://play.xluuss.com/play/Pdyny5ge/index.m3u8 

央卫4K_2965,#genre#
CCTV-01,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV-02,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV-03,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV-04,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV-05,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV-5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV-06,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV-07,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV-08,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV-09,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV-10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV-11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV-12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV-13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV-14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV-15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV-16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV-17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
北京卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=bjws
东方卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dfws
浙江卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=zjws
江苏卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jsws
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws
广东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gdws
深圳卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws
天津卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=tjws
安徽卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=ahws
山东卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws
辽宁卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=lnws
河北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hbws
河南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hnws
江西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jxws
四川卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=scws
重庆卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cqws
贵州卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gzws
湖北卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hubws
广西卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=gxws
东南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=dnws
海南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hinws
青海卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=qhws
青海卫视,http://t.061899.xyz/tl/tl.php?id=qhws
吉林卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=jlws
黑龙江视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hljws

wtys_2965,#genre#
CCTV1-综合,http://182.207.218.25:999/tsfile/live/0001_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV2-财经,http://182.207.218.25:999/tsfile/live/0002_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV3-综艺,http://182.207.218.25:999/tsfile/live/0003_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV4-国际,http://182.207.218.25:999/tsfile/live/0004_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV5-体育,http://182.207.218.25:999/tsfile/live/0005_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV6-电影,http://182.207.218.25:999/tsfile/live/0006_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV7-军农,http://182.207.218.25:999/tsfile/live/0007_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV8-电视剧,http://182.207.218.25:999/tsfile/live/0008_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV9-纪录,http://182.207.218.25:999/tsfile/live/0009_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV10-科教,http://182.207.218.25:999/tsfile/live/0010_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV11-戏曲,http://182.207.218.25:999/tsfile/live/0011_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV12-社会与法,http://182.207.218.25:999/tsfile/live/0012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV13-新闻,http://182.207.218.25:999/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV14-少儿,http://182.207.218.25:999/tsfile/live/0014_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV15-音乐,http://182.207.218.25:999/tsfile/live/0015_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV5+体育赛事,http://182.207.218.25:999/tsfile/live/0016_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0

wtws_2965#genre#
辽宁卫视,http://182.207.218.25:999/tsfile/live/0121_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
北京卫视,http://182.207.218.25:999/tsfile/live/0122_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
天津卫视,http://182.207.218.25:999/tsfile/live/0135_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
浙江卫视,http://182.207.218.25:999/tsfile/live/0124_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
江苏卫视,http://182.207.218.25:999/tsfile/live/0127_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
安徽卫视,http://182.207.218.25:999/tsfile/live/0130_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
贵州卫视,http://182.207.218.25:999/tsfile/live/0120_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
山东卫视,http://182.207.218.25:999/tsfile/live/0131_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
山西卫视,http://182.207.218.25:999/tsfile/live/0118_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
广东卫视,http://182.207.218.25:999/tsfile/live/0125_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
广西卫视,http://182.207.218.25:999/tsfile/live/0113_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
湖北卫视,http://182.207.218.25:999/tsfile/live/0132_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
湖南卫视,http://182.207.218.25:999/tsfile/live/0128_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
江西卫视,http://182.207.218.25:999/tsfile/live/0138_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
河北卫视,http://182.207.218.25:999/tsfile/live/0117_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
河南卫视,http://182.207.218.25:999/tsfile/live/0139_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
四川卫视,http://182.207.218.25:999/tsfile/live/0123_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
重庆卫视,http://182.207.218.25:999/tsfile/live/0142_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
东南卫视,http://182.207.218.25:999/tsfile/live/0137_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
青海卫视,http://182.207.218.25:999/tsfile/live/0140_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
云南卫视,http://182.207.218.25:999/tsfile/live/0119_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
陕西卫视,http://182.207.218.25:999/tsfile/live/0136_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
内蒙古卫视,http://182.207.218.25:999/tsfile/live/0109_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
宁夏卫视,http://182.207.218.25:999/tsfile/live/0112_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
吉林卫视,http://182.207.218.25:999/tsfile/live/0116_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
新疆卫视,http://182.207.218.25:999/tsfile/live/0110_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
甘肃卫视,http://182.207.218.25:999/tsfile/live/0141_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
西藏卫视,http://182.207.218.25:999/tsfile/live/0111_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
黑龙江卫视,http://182.207.218.25:999/tsfile/live/0143_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
深圳卫视,http://182.207.218.25:999/tsfile/live/0126_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
厦门卫视,http://182.207.218.25:999/tsfile/live/0129_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
兵团卫视,http://182.207.218.25:999/tsfile/live/0115_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
辽宁都市,http://182.207.218.25:999/tsfile/live/1000_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
辽宁影视剧,http://182.207.218.25:999/tsfile/live/1001_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
辽宁体育,http://182.207.218.25:999/tsfile/live/1003_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
辽宁生活,http://182.207.218.25:999/tsfile/live/1004_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
辽宁教育青少,http://182.207.218.25:999/tsfile/live/1005_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
辽宁北方,http://182.207.218.25:999/tsfile/live/1006_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
辽宁公共,http://182.207.218.25:999/tsfile/live/1007_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
辽宁经济,http://182.207.218.25:999/tsfile/live/1008_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
辽宁移动电视,http://182.207.218.25:999/tsfile/live/1009_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
海南卫视,http://182.207.218.25:999/tsfile/live/1010_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
延边卫视,http://182.207.218.25:999/tsfile/live/1011_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
金鹰卡通,http://182.207.218.25:999/tsfile/live/1012_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
优漫卡通,http://182.207.218.25:999/tsfile/live/1013_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
家庭影院,http://182.207.218.25:999/tsfile/live/1014_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
动作电影,http://182.207.218.25:999/tsfile/live/1015_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
高清电影,http://182.207.218.25:999/tsfile/live/1016_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
  
